event_id,asset_class,resolution,n_bars_raw,signal,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h,recovery_h,episode_start,episode_end,n_obs
eq-2024-yencarry,equity,day,36,sigma,0.012091,0.060129,4.973,216.0,192.0,,2024-08-02 00:00:00+00:00,2024-08-15 00:00:00+00:00,12
eq-2024-yencarry,equity,day,36,q,117600000.0,285600000.0,2.429,0.0,72.0,72.0,2024-08-01 00:00:00+00:00,2024-08-08 00:00:00+00:00,12
fx-2008-goldflight,commodity,day,88,v,0.011997,0.086432,7.204,0.0,96.0,168.0,2008-09-17 00:00:00+00:00,2008-09-24 00:00:00+00:00,63
fx-2008-goldflight,commodity,day,88,sigma,0.017851,0.042912,2.404,120.0,216.0,240.0,2008-09-17 00:00:00+00:00,2008-10-03 00:00:00+00:00,63
fx-2008-goldflight,commodity,day,88,q,138.0,158862.0,1151.174,0.0,72.0,,2008-11-25 00:00:00+00:00,2008-11-28 00:00:00+00:00,63
fx-2013-goldcrash,commodity,minute,46251,s,2.026559,13.753712,6.787,0.02,0.1,49.22,2013-04-12 20:55:00+00:00,2013-04-14 22:12:00+00:00,13315
fx-2013-goldcrash,commodity,minute,46251,v,7.2e-05,0.010387,144.71,0.05,0.52,0.52,2013-04-15 20:12:00+00:00,2013-04-15 20:46:00+00:00,13315
fx-2013-goldcrash,commodity,minute,46251,sigma,0.000151,0.001566,10.355,83.33,124.38,,2013-04-12 11:00:00+00:00,2013-04-19 20:59:00+00:00,13315
fx-2013-goldcrash,commodity,minute,46251,q,32.0,453.0,14.156,2.02,4.95,2.98,2013-04-15 12:54:00+00:00,2013-04-15 17:54:00+00:00,13315
fx-2015-snb,fx,minute,45530,s,0.952164,34.705821,36.449,12.92,54.93,90.75,2015-01-15 09:30:00+00:00,2015-01-19 17:10:00+00:00,13989
fx-2015-snb,fx,minute,45530,v,8e-06,0.108494,13030.995,0.08,2.32,2.25,2015-01-15 09:30:00+00:00,2015-01-15 11:50:00+00:00,13989
fx-2015-snb,fx,minute,45530,sigma,2e-05,0.01477,747.008,3.98,154.17,,2015-01-15 09:30:00+00:00,2015-01-23 21:59:00+00:00,13989
fx-2015-snb,fx,minute,45530,q,11.0,378.0,34.364,0.5,2.45,1.95,2015-01-22 13:09:00+00:00,2015-01-22 15:37:00+00:00,13989
fx-2016-brexit,fx,minute,52960,s,0.781786,24.787134,31.706,0.68,0.9,49.27,2016-06-24 20:14:00+00:00,2016-06-26 22:15:00+00:00,18595
fx-2016-brexit,fx,minute,52960,v,6.9e-05,0.029067,419.7,0.07,0.32,0.25,2016-06-23 23:13:00+00:00,2016-06-23 23:32:00+00:00,18595
fx-2016-brexit,fx,minute,52960,sigma,0.000164,0.003595,21.883,5.25,28.93,74.02,2016-06-22 14:23:00+00:00,2016-06-27 05:16:00+00:00,18595
fx-2016-brexit,fx,minute,52960,q,56.0,576.0,10.286,0.08,0.7,0.7,2016-06-23 23:12:00+00:00,2016-06-23 23:59:00+00:00,18595
fx-2019-jpyflash,fx,minute,30385,s,0.261963,23.409567,89.362,0.73,2.4,1.78,2019-01-02 21:52:00+00:00,2019-01-03 00:28:00+00:00,11386
fx-2019-jpyflash,fx,minute,30385,v,5.3e-05,0.01131,213.742,0.12,0.48,0.37,2019-01-02 22:30:00+00:00,2019-01-02 22:59:00+00:00,11386
fx-2019-jpyflash,fx,minute,30385,sigma,0.000106,0.001299,12.308,3.85,25.85,28.5,2019-01-02 22:33:00+00:00,2019-01-04 06:55:00+00:00,11386
fx-2019-jpyflash,fx,minute,30385,q,54.0,591.0,10.944,0.07,3.42,3.45,2019-01-04 13:25:00+00:00,2019-01-04 16:57:00+00:00,11386
fx-2020-wti,commodity,day,45,v,0.045914,0.601676,13.104,0.0,72.0,72.0,2020-04-17 00:00:00+00:00,2020-04-24 00:00:00+00:00,20
fx-2020-wti,commodity,day,45,sigma,0.127027,0.27377,2.155,24.0,48.0,,2020-04-22 00:00:00+00:00,2020-04-30 00:00:00+00:00,20
fx-2020-wti,commodity,day,45,q,743129.0,2288230.0,3.079,0.0,24.0,48.0,2020-04-21 00:00:00+00:00,2020-04-23 00:00:00+00:00,20
fx-2022-ldi,fx,minute,61642,s,0.987384,25.230916,25.553,0.18,0.98,0.92,2022-10-13 20:53:00+00:00,2022-10-13 22:05:00+00:00,26871
fx-2022-ldi,fx,minute,61642,v,8.7e-05,0.016055,184.602,0.08,0.8,0.72,2022-09-26 00:54:00+00:00,2022-09-26 01:42:00+00:00,26871
fx-2022-ldi,fx,minute,61642,sigma,0.000166,0.00173,10.419,4.93,23.88,24.0,2022-09-23 20:49:00+00:00,2022-09-27 04:41:00+00:00,26871
fx-2022-ldi,fx,minute,61642,q,107.0,895.0,8.364,0.03,5.72,5.72,2022-09-28 09:58:00+00:00,2022-09-28 15:45:00+00:00,26871
