event_id,signal,baseline_days,stress_multiple,baseline,peak,peak_ratio,time_to_peak_h,duration_above_h
fx-2015-snb,v,15,1.5,8e-06,0.108494,13033.273,0.08,2.32
fx-2015-snb,sigma,15,1.5,1.9e-05,0.01477,788.495,3.98,154.17
fx-2015-snb,q,15,1.5,10.0,378.0,37.8,0.7,3.78
fx-2015-snb,illiq,15,1.5,1e-06,0.020921,21133.331,0.08,1.02
fx-2016-brexit,s,15,1.5,0.891058,24.787134,27.818,1.13,5.4
fx-2016-brexit,v,15,1.5,8.6e-05,0.029067,339.058,0.07,0.32
fx-2016-brexit,sigma,15,1.5,0.000223,0.003595,16.115,5.25,28.92
fx-2016-brexit,q,15,1.5,62.0,576.0,9.29,1.1,2.08
fx-2016-brexit,illiq,15,1.5,1e-06,0.000121,106.898,49.15,0.23
fx-2019-jpyflash,s,15,1.5,0.297746,23.409567,78.623,1.18,3.2
fx-2019-jpyflash,v,15,1.5,5.9e-05,0.01131,193.068,0.12,0.48
fx-2019-jpyflash,sigma,15,1.5,0.000124,0.001299,10.496,3.85,30.52
fx-2019-jpyflash,q,15,1.5,76.0,591.0,7.776,0.07,3.38
fx-2019-jpyflash,illiq,15,1.5,0.0,8e-06,1004.435,0.1,0.32
fx-2022-ldi,s,15,1.5,0.992023,25.230916,25.434,1.53,2.83
fx-2022-ldi,v,15,1.5,8.8e-05,0.016055,182.899,0.08,0.8
fx-2022-ldi,sigma,15,1.5,0.000167,0.00173,10.349,68.72,57.73
fx-2022-ldi,q,15,1.5,115.0,895.0,7.783,0.07,7.8
fx-2022-ldi,illiq,15,1.5,1e-06,0.000399,491.928,0.18,0.37
fx-2013-goldcrash,s,15,1.5,2.052283,13.753712,6.702,0.32,1.42
fx-2013-goldcrash,v,15,1.5,7.6e-05,0.010387,136.48,0.05,0.55
fx-2013-goldcrash,sigma,15,1.5,0.000162,0.001566,9.636,83.33,124.77
fx-2013-goldcrash,q,15,1.5,33.0,453.0,13.727,2.02,7.82
fx-2013-goldcrash,illiq,15,1.5,0.0,0.0,134.616,0.23,0.1
cr-2020-covid,v,15,2.0,0.000359,0.075106,209.41,0.4,0.75
cr-2020-covid,sigma,15,2.0,0.000629,0.016744,26.617,32.85,311.75
cr-2020-covid,q,15,2.0,25.879777,2319.28637,89.618,0.37,3.4
cr-2020-covid,s_eff,15,2.0,7.752408,1167.347629,150.579,0.63,9.4
cr-2020-covid,illiq,15,2.0,0.0,0.0,136.939,0.0,0.03
cr-2021-elonchina,v,15,2.0,0.000437,0.059738,136.747,0.72,0.82
cr-2021-elonchina,sigma,15,2.0,0.000709,0.011624,16.399,70.92,292.75
cr-2021-elonchina,q,15,2.0,28.426868,1848.147496,65.014,11.95,31.67
cr-2021-elonchina,s_eff,15,2.0,8.808495,824.506749,93.604,3.02,11.58
